item	source_name	source_url	status	proposed_region_or_polity	text_kind	note
1	Toyotomi_hideyoshi4.jpg	https://commons.wikimedia.org/wiki/File:Toyotomi_hideyoshi4.jpg	review_queue	尾張国	画像賛・長文	享保六年（1721）の後代賛。確実に読める列と落款を収録したが、長文の列順・複数字形を再校する必要。
2	Portrait_of_Oda_Nobunaga_(Hideyoshi_Kiyomasa_Memorial_Hall).jpg	https://commons.wikimedia.org/wiki/File:Portrait_of_Oda_Nobunaga_(Hideyoshi_Kiyomasa_Memorial_Hall).jpg	promoted	摂津国	corpus_work	総見院殿贈大相国一品泰巌大居士肖像賛。Commons のファイル名は名古屋の施設名を掲げるが、出典先は神戸市立博物館。
3	Toyotomi_Hideyoshi_(Kodaiji).jpg	https://commons.wikimedia.org/wiki/File:Toyotomi_Hideyoshi_(Kodaiji).jpg	review_queue	山城国	画像賛	高台寺本。画像を収録。公開目録間で賛者・本文の対応に混同があるため、当該画面を列単位で再校する。
4	Toyotomi_Hideyoshi_(Saikyoji).jpg	https://commons.wikimedia.org/wiki/File:Toyotomi_Hideyoshi_(Saikyoji).jpg	review_queue	近江国	画像賛	西教寺本。画像を収録。玄甫霊三・惟杏永哲の複数賛を別単位として分離し、各列を再校する必要。
5	Portrait_of_Toyotomi_Hideyoshi_-_Google_Art_Project.jpg	https://commons.wikimedia.org/wiki/File:Portrait_of_Toyotomi_Hideyoshi_-_Google_Art_Project.jpg	promoted	摂津国	corpus_work	豊国大明神尊像賛（惟杏永哲）
6	Portrait_of_Matsunaga_Hisahide.jpg	https://commons.wikimedia.org/wiki/File:Portrait_of_Matsunaga_Hisahide.jpg	promoted	摂津国	corpus_work	妙久寺殿祐雪大居士尊儀銘
7	Yamada_Nagamasa_warship_(1789).jpg	https://commons.wikimedia.org/wiki/File:Yamada_Nagamasa_warship_(1789).jpg	mixed_japanese	武蔵国	絵図詞書	1789年の後世図。漢文本文か和文詞書かを段落別に判定。
8	Masuda_Motoyoshi.jpg	https://commons.wikimedia.org/wiki/File:Masuda_Motoyoshi.jpg	review_queue	石見国	画像賛	題名と本文に未確定字。
9	Dogen.jpg	https://commons.wikimedia.org/wiki/File:Dogen.jpg	review_queue	越前国	自賛	第二句未確定。
10	Itō_Yūzen.jpg	https://commons.wikimedia.org/wiki/File:It%C5%8D_Y%C5%ABzen.jpg	review_queue	未詳	題賛	本文確定、地域未詳。
11	Kamiya_Sōdan.jpg	https://commons.wikimedia.org/wiki/File:Kamiya_S%C5%8Ddan.jpg	promoted	筑前国	corpus_work	神屋宗湛画像賛
12	KurodaNaritaka.jpg	https://commons.wikimedia.org/wiki/File:KurodaNaritaka.jpg	promoted	筑前国	corpus_work	黒田斉隆像賛
13	Mori_yoshinari.jpg	https://commons.wikimedia.org/wiki/File:Mori_yoshinari.jpg	no_substantial_hanwen_yet	美濃国／尾張国要検討	肖像銘	後世肖像の名・没日中心。独立漢文作品としては薄い。
14	Uesugi_Kenshin2.jpg	https://commons.wikimedia.org/wiki/File:Uesugi_Kenshin2.jpg	review_queue	越後国	画像賛	長文跋の再校待ち。
15	Yashiro_Hirokata_Portrait.JPG	https://commons.wikimedia.org/wiki/File:Yashiro_Hirokata_Portrait.JPG	set_or_multiple_portraits	武蔵国	肖像題記	32歳像・83歳像の区別と各銘文の分離が必要。
16	Prince_Shōtoku,_anonymous_Japanese_painting,_Honolulu_Museum_of_Art.jpg	https://commons.wikimedia.org/wiki/File:Prince_Sh%C5%8Dtoku,_anonymous_Japanese_painting,_Honolulu_Museum_of_Art.jpg	review_queue	未詳	肖像賛	画像本文は確定。19世紀作・ホノルル美術館蔵だが制作・旧蔵地を特定できず、聖徳太子の人物由来だけで大和国へ置かない。
17	Oda-Nobunaga.jpg	https://commons.wikimedia.org/wiki/File:Oda-Nobunaga.jpg	promoted	三河国	corpus_work	天徳院殿一品前右相府泰岩浄安大禅定門肖像銘
18	Portrait_of_Ono_Ranzan_by_Tani_Bunchō_(National_Diet_Library).jpg	https://commons.wikimedia.org/wiki/File:Portrait_of_Ono_Ranzan_by_Tani_Bunch%C5%8D_(National_Diet_Library).jpg	transcription_required	武蔵国	画像賛	谷文晁筆・小野蘭山像。NDL 高精細画像で本文再校。
19	Semuiji_Myoue.jpg	https://commons.wikimedia.org/wiki/File:Semuiji_Myoue.jpg	promoted	山城国	corpus_work	明恵上人樹上坐禅像自賛
